,0
2022-01-31,0.010124275124632072
2022-02-28,-0.004253474837482986
2022-03-31,0.005502917090496703
2022-04-30,0.017878216896057064
2022-05-31,0.001014786670145353
2022-06-30,0.01688041184056325
2022-07-31,0.00047359584862081267
2022-08-31,0.012357063962890881
2022-09-30,0.013018119967660089
2022-10-31,-0.006045392140472187
2022-11-30,-0.010462419170182452
2022-12-31,0.009300823750257663
2023-01-31,0.027334313553207954
2023-02-28,0.004533137253125471
2023-03-31,0.0009926847792897826
2023-04-30,0.0007051554023210114
2023-05-31,-4.753584833940605e-05
2023-06-30,0.0056123157068915875
2023-07-31,0.001435286953012452
2023-08-31,0.00828049232697548
2023-09-30,0.010302821778436456
2023-10-31,-0.00243572461679829
2023-11-30,0.008182097510129261
2023-12-31,0.003715536503034139
2024-01-31,0.0046043812902716915
2024-02-29,-0.0006296109524341029
2024-03-31,0.018481391277633496
2024-04-30,0.01662812430950288
2024-05-31,0.013107659518552441
2024-06-30,-0.0007881465293756108
2024-07-31,0.0010052131929408675
2024-08-31,-0.0002941201729974201
2024-09-30,0.00886662526158646
2024-10-31,0.0042545140430609715
2024-11-30,0.012541329289502329
2024-12-31,0.02172048963392326
2025-01-31,0.007109585111273991
2025-02-28,-0.004955895439103824
2025-03-31,0.011330258233626746
2025-04-30,0.013054601732277227
2025-05-31,-0.0022306712641199616
2025-06-30,0.012972139110986913
