symbol,secType,exchange,currency,lastTradeDateOrContractMonth,strike,multiplier
CT,FUT,NYBOT,USD,202505,0,50000
ZW,FUT,CBOT,USD,202503,0,5000
KE,FUT,CBOT,USD,202503,0,5000
ZC,FUT,CBOT,USD,202503,0,5000
ZS,FUT,CBOT,USD,202503,0,5000
ZL,FUT,CBOT,USD,202503,0,60000
ZM,FUT,CBOT,USD,202503,0,100
ZR,FUT,CBOT,USD,202503,0,2000
ZO,FUT,CBOT,USD,202503,0,5000
LE,FUT,CME,USD,202504,0,40000
GF,FUT,CME,USD,202503,0,50000
HE,FUT,CME,USD,202503,0,40000
KC,FUT,NYBOT,USD,202503,0,37500
D,FUT,ICEEUSOFT,USD,202503,0,10
CC,FUT,NYBOT,USD,202505,0,10
OJ,FUT,NYBOT,USD,202503,0,15000
CL,FUT,NYMEX,USD,202503,0,1000
NG,FUT,NYMEX,USD,202503,0,10000
HO,FUT,NYMEX,USD,202503,0,42000
RB,FUT,NYMEX,USD,202503,0,42000
GC,FUT,COMEX,USD,202503,0,100
QI,FUT,COMEX,USD,202503,0,2500
PL,FUT,NYMEX,USD,202504,0,50
HG,FUT,NYMEX,USD,202503,0,25000
ALI,FUT,COMEX,USD,202504,0,25

